Gender,Department,Experience_Years,Certifications,Salary,Satisfaction_Score,Age,Performance_Rating,Employment_Type
Male,Engineering,11,1,60671.81,9.49,32,2,Part-time
Male,Engineering,4,1,45659.33,3.97,,3.1,Part-time
Male,Marketing,,3,28771.96,9.54,24,2.4,
Male,Marketing,3,1,,1.35,38,3.1,Contract
Male,Engineering,5,3,18813.08,4.84,49,1.5,Full-time
Male,Marketing,12,3,,2.7,50,1.5,Contract
Male,HR,19,4,40743.64,5.4,42,1.6,
Female,HR,14,0,31117.37,1.62,,4.8,Intern
Male,Marketing,2,3,67832.02,8.42,58,3.9,Intern
Male,Marketing,7,2,49380.37,8.46,41,,Part-time
Male,Engineering,19,5,52609.49,9.55,27,1.8,Intern
Male,Finance,15,0,63618.08,1.55,40,3.9,Part-time
Male,Marketing,12,0,49868.14,6.23,26,1.6,Intern
Male,HR,17,0,56771.17,4.74,24,1.9,Contract
Female,Engineering,9,4,62237.77,3.44,22,4.9,Full-time
Male,Marketing,18,3,58501.34,3.52,59,2,
Female,HR,16,4,54289.7,4.13,36,3.6,Contract
Female,HR,18,3,76746.69,7.05,55,4.9,Contract
Female,Finance,4,4,,5.98,56,2.5,Part-time
Female,Engineering,20,4,48713.55,4.6,46,1.1,Part-time
Male,Engineering,8,5,36354.61,0.76,45,2,Part-time
Male,Finance,11,2,,0.78,33,4.3,
Female,Finance,20,4,53237.91,0.02,39,4.5,Part-time
Female,Engineering,0,5,75634.93,9.68,36,,Contract
Male,Engineering,0,1,64812.4,0.05,37,1.5,Full-time
Male,Marketing,14,2,61463.07,1.03,48,4.2,Intern
Male,Marketing,1,4,50194.27,3.15,29,4.7,Part-time
Male,Finance,15,0,36864.52,8.07,46,3.4,Intern
Male,Marketing,7,1,47030.56,9.62,38,,Intern
Male,HR,12,1,,7.9,50,4.3,Part-time
Female,Marketing,20,5,24056.3,6.91,29,3.7,Intern
Male,Marketing,0,1,68625.71,5.21,,3.3,Full-time
Female,HR,15,2,81005.66,0.87,48,2.4,Contract
Female,Finance,6,4,20825.91,9.58,28,1.6,Contract
Male,HR,4,4,,7.58,24,3.4,Full-time
Female,Marketing,2,0,53444.94,6.39,50,,Intern
Male,Finance,11,5,,7.59,45,,Part-time
Male,Marketing,15,0,53913.6,7.24,24,5,Intern
Male,HR,18,1,,6.37,41,4,Full-time
Male,HR,4,0,34642.72,9.81,,1.4,Intern
Male,Marketing,13,2,69326.1,9.03,46,2.2,Contract
Male,Engineering,4,4,56967.75,6.47,51,1.4,Intern
Male,Engineering,14,1,41603.87,6.93,,3.6,Full-time
Male,HR,16,0,72575.38,0.52,28,4.1,Contract
Male,HR,13,5,42373.91,6.7,38,,Intern
Male,Engineering,19,2,31372.39,0.44,41,2.8,Intern
Female,Engineering,4,2,52752.68,5.88,57,4.6,Contract
Male,Marketing,11,0,55297.36,9.99,30,4.5,Part-time
Female,Marketing,15,4,57978.75,5.56,59,2.3,Contract
Female,Engineering,15,0,60445.27,4.73,43,4.5,Part-time
Female,Marketing,20,1,57741.87,3.13,23,2.5,
Male,Marketing,6,0,57132.4,1.21,,2.2,Full-time
Female,Finance,3,2,41393.69,7.31,29,,Contract
Male,Marketing,0,0,39788.84,1.93,32,,Contract
Female,HR,4,4,61135.47,1.15,34,3.5,Full-time
Male,Marketing,9,5,53651.85,4.22,38,,Part-time
Male,Marketing,4,3,,7.95,29,3.3,Full-time
Male,Engineering,3,0,24390.84,7.45,42,2.5,Contract
Male,HR,1,4,42488.2,0.55,39,3.2,Full-time
Male,Marketing,19,4,78605.28,4.55,51,3.4,Contract
Female,Marketing,9,5,58288,5.22,39,3.2,Contract
Male,Finance,18,2,54433.26,6.45,52,2.8,Full-time
Female,Marketing,0,4,60618.87,6.5,59,1.1,Part-time
Female,Marketing,4,4,83126.76,3.65,53,,Intern
Female,Finance,12,4,79970.74,5.61,,1.7,Full-time
Female,Engineering,3,4,26307.19,4.81,46,3.6,Intern
Female,Marketing,15,1,,8.85,,,Full-time
Female,Finance,15,1,25798.84,5.3,59,3,Intern
Female,HR,1,2,38793.38,4.41,29,3.2,Part-time
Male,Engineering,16,0,50823.79,4.04,32,4.8,Part-time
Male,HR,19,4,,5.72,43,4.4,Full-time
Female,HR,11,5,27042.82,8.04,45,4.7,Contract
Female,Finance,17,0,21989.72,5.38,,4.3,Intern
Female,Marketing,2,5,38528.13,6.62,33,1.4,Contract
Female,Finance,0,0,63742.57,7.38,53,1.6,Contract
Female,Finance,0,2,,5.2,36,3.1,Contract
Female,Finance,18,4,75587.37,4.27,37,2,Part-time
Male,Finance,10,4,49515.05,8.77,43,2.9,Full-time
Male,Engineering,4,3,62422.3,4.18,49,2.6,Full-time
Female,Marketing,11,5,65148.42,4.62,41,3.2,Part-time
Male,HR,2,0,42547.11,9.9,54,4,Part-time
Male,HR,0,0,55817.67,0,31,3.9,Full-time
Female,Marketing,0,1,59880.58,1.85,53,3.1,Contract
Male,HR,7,3,36362.64,3.84,54,4.3,Intern
Male,Marketing,9,1,74631.44,9.33,,2.7,Intern
Female,HR,10,1,49417.82,0.7,54,4.6,Intern
Male,Finance,11,1,51305.53,0.09,54,1.3,Contract
Male,HR,12,5,35789.88,0.53,34,4.8,Full-time
Female,Marketing,11,5,38308.61,0.89,51,3.6,Part-time
Male,Marketing,13,2,17052.28,0.38,54,2.5,Full-time
Male,Marketing,1,2,50827.34,4.8,34,1.8,Contract
Male,Marketing,18,1,87585.34,5.81,47,2.9,Part-time
Male,Marketing,17,3,34720.71,2.72,,1.8,Contract
Male,Engineering,2,0,94642.95,3.98,23,1.7,Intern
Male,Engineering,16,5,71213.77,0.92,59,3.5,Intern
Male,HR,7,3,42896.17,3.36,47,3.1,Contract
Male,Marketing,9,4,50408.97,5.23,36,3.7,Part-time
Male,HR,1,5,47973.5,7.32,55,4.7,Part-time
Male,Marketing,18,5,75592.46,0.03,32,3.1,Full-time
Male,Marketing,8,2,,4.67,24,,Intern
Male,Engineering,6,0,67729.61,2.97,27,1.4,Full-time
Male,Engineering,3,0,55372.58,8.53,30,3.9,Full-time
Male,Finance,20,4,48320.41,7.16,27,,Contract
Male,Engineering,17,4,54896.35,5.89,30,4.9,Contract
Male,Finance,12,5,43895.84,2.77,,4.3,Full-time
Male,Finance,10,1,28216.94,9.1,53,3.1,Intern
Male,Finance,3,2,62205.33,0.45,33,1.5,Contract
Male,Finance,20,2,27482.53,1.09,29,,Full-time
Male,Finance,3,5,,3.92,29,4.2,Full-time
Female,HR,9,3,43402.04,1.24,49,1.7,Full-time
Male,Engineering,4,1,59650.31,9.56,41,,Full-time
Female,Finance,8,5,73470.57,7.98,28,4.2,Full-time
Male,Marketing,2,1,68074.56,2.59,32,1.7,Full-time
Male,Engineering,16,1,60086.38,5.89,41,4.7,Contract
Male,Engineering,2,1,40551.93,9.82,37,2.7,Intern
Female,Finance,15,5,47247.96,8.84,25,1.3,Full-time
Male,HR,3,2,45060.89,6.01,27,4.3,Part-time
Male,Finance,17,2,42945.78,9.04,43,2.5,Contract
Male,HR,16,1,43963.23,9.89,47,3.1,Contract
Female,Marketing,6,3,43562.93,7.43,24,1.4,Full-time
Male,Engineering,4,0,,0.65,35,1,Contract
Male,Marketing,11,5,,4.02,32,3.6,Full-time
Female,HR,16,0,,8.38,39,3.1,Intern
Male,HR,12,3,39057.89,2.31,33,3.4,Intern
Male,Marketing,2,5,26248.9,8.31,44,4.2,Contract
Male,HR,8,1,71232.24,1.2,,3.6,Contract
Male,Marketing,16,2,38052.46,0.47,34,1.7,Part-time
Male,Engineering,16,0,59911.63,3.84,46,2.4,Contract
Male,Marketing,19,4,57129.78,0.37,40,4.6,Part-time
Female,Engineering,15,4,69782.58,9.57,57,4.1,Intern
Male,Marketing,12,3,46849.75,8.26,29,3.2,Intern
Male,HR,18,1,,8.01,50,2,Full-time
Male,Marketing,16,0,26663.75,6.3,,2.2,Intern
Female,HR,3,1,8230.47,2.16,,3.9,Part-time
Male,Marketing,11,0,52420.3,5.18,27,4.4,Contract
Male,Marketing,8,3,61632.09,5.97,39,3.7,Full-time
Female,Finance,18,3,57075.32,5.25,40,4.2,Part-time
Male,HR,11,4,27053.54,2.6,43,4.1,Contract
Male,Finance,8,1,65582.39,5.15,,,Full-time
Male,HR,6,5,39526.76,4.91,53,2.7,Intern
Male,Finance,13,4,36396.45,9.96,24,1.6,Part-time
Male,Engineering,19,1,39190.52,8.97,49,1.9,Contract
Female,Marketing,18,4,51176.13,4.63,31,4.5,Full-time
Female,HR,14,5,27729.48,6.23,56,2.9,Full-time
Male,HR,15,2,49444.46,7.48,50,3.1,Intern
Male,Marketing,20,2,56441.72,0.35,36,1.7,Contract
Male,HR,4,2,,8.95,54,2.2,Intern
Male,HR,2,2,52639.35,8.6,28,1.9,Intern
Male,Finance,11,0,29905.57,4.57,33,1.8,Contract
Male,HR,19,2,52233.35,3.91,51,3.6,Contract
Female,Engineering,20,5,34096.13,2.73,42,2,Contract
Male,Engineering,3,3,33230.82,4.77,52,3.5,Part-time
Male,Marketing,20,3,29559.45,0.44,45,1.2,Contract
Male,HR,15,0,21331.19,8.52,41,1.6,Full-time
Male,Marketing,6,2,41492.55,0.35,58,2.1,Intern
Male,Engineering,12,2,66933.33,3.29,25,3.4,Part-time
Male,HR,20,2,83847.26,9.32,49,3.7,Contract
Male,HR,9,4,41396.22,7.35,41,2.8,Part-time
Male,Marketing,6,1,66291.58,2.81,,2.8,Contract
Male,Engineering,13,4,44081.27,2.53,53,3.9,Part-time
Male,HR,4,1,25238.96,0.05,57,1.1,Intern
Female,Marketing,2,2,60514.13,6.96,55,2.4,Intern
Female,Engineering,10,2,,0.49,57,,Full-time
Female,Marketing,10,4,77270.29,5.33,23,3.4,Full-time
Female,Finance,17,4,26979.82,9.62,36,2.3,Contract
Male,HR,14,1,91940.49,1.09,55,4.6,Intern
Female,Finance,11,3,73875.76,8.94,57,4.1,Part-time
Male,Engineering,8,1,49731.15,9.91,27,2.1,Part-time
Male,Finance,9,4,45520.43,0.62,33,3.6,Part-time
Female,Finance,11,5,39262.85,8.83,24,3.4,Full-time
Female,Engineering,16,4,,5.16,39,2.6,
Female,Marketing,5,5,47240.96,9.07,42,2.5,Full-time
Female,Finance,6,0,57706.93,5.71,36,2.4,Full-time
Female,Marketing,13,4,45584.5,6.62,54,,Contract
Female,Finance,12,0,71224.46,5.44,56,2.8,Part-time
Male,Marketing,7,3,51875.69,8.64,47,4.3,Part-time
Female,Engineering,9,1,46147.74,7.34,29,3.7,Intern
Female,Finance,8,5,65364.3,5.21,57,1.3,Contract
Male,Engineering,17,1,25662.15,8.68,,3.6,Intern
Male,Finance,1,0,55114.83,2.45,44,2.1,Contract
Male,Engineering,4,5,50383.57,1.57,35,3.4,Part-time
Female,Engineering,4,1,28837.24,1.6,35,,Full-time
Female,Finance,5,4,24372.45,3.34,23,1.9,Full-time
Male,Finance,18,2,65155.18,2.39,58,,Full-time
Male,Finance,7,0,64441.86,9.3,26,1.8,Full-time
Male,HR,15,1,52588.38,1.06,59,1.2,Full-time
Female,Marketing,12,0,75749.87,6.99,35,2.5,Intern
Female,HR,0,0,56614.52,1.89,46,2.5,Contract
Female,HR,19,5,68747.08,8.82,41,5,Part-time
Female,Engineering,16,5,56304.87,9.61,,,Intern
Male,Finance,6,2,45862.86,4.65,27,2.3,Contract
Female,Marketing,12,4,34137.03,8.79,38,3.3,Full-time
Male,Engineering,3,0,40948.46,0.05,46,1.4,Contract
Male,HR,3,1,46143.17,8.2,49,4.8,Contract
Female,Finance,5,3,70447.3,2.29,23,3.5,Full-time
Female,Engineering,18,0,61548.79,9.09,56,4,Full-time
Female,Finance,11,0,54954.79,0.01,58,1.7,Full-time
Female,Engineering,6,2,63050.15,5.56,26,2.6,Part-time
Female,Finance,9,4,57910.76,7.57,22,,Full-time
Male,HR,18,3,53929.06,2.59,33,4.3,Part-time
Male,Marketing,6,5,27520.11,1.93,57,1,Full-time
Female,HR,2,5,67087.36,0.84,44,2.2,Part-time
Male,Marketing,12,1,43122.32,3.26,52,4.9,Contract
Female,Finance,12,3,66328.1,5.6,32,2.9,Intern
Female,Engineering,17,5,67778.15,1.16,31,2.5,Contract
Female,HR,19,1,39949.41,3.77,24,1.5,Contract
Female,Marketing,7,4,64245.74,0.09,35,4.9,Full-time
Female,HR,8,1,44585.19,8.19,37,1.1,Part-time
Male,Marketing,6,5,44674.52,1.28,,3.9,Intern
Male,HR,0,2,53862.1,2.83,50,,Full-time
