Student_ID,Department,Gender,Age,GPA,Credits_Completed,Attendance,Scholarship
S1152,CSE,Female,20,10.00,140,65.54,No
S1260,ECE,Male,18,10.00,140,73.51,Yes
S1253,ME,Male,23,10.00,140,66.95,No
S1004,EEE,Male,21,10.00,140,80.00,No
S1345,ECE,Male,23,9.96,140,5.00,No
S1112,EEE,Female,22,9.95,140,84.97,Yes
S1320,ECE,Female,23,9.80,140,86.29,No
S1081,CSE,Female,18,9.77,140,75.20,No
S1059,ECE,Male,18,9.58,140,46.35,No
S1120,ECE,Female,23,9.38,140,60.64,No
S1103,ECE,Female,20,9.38,140,69.44,No
S1000,CE,Female,21,9.36,140,40.00,No
S1148,ECE,Male,19,9.35,140,87.84,No
S1267,CSE,Male,23,9.31,140,51.86,Yes
S1265,CSE,Male,23,9.27,140,75.61,No
S1205,ME,Female,19,9.25,140,74.80,Yes
S1175,ECE,Female,24,9.25,140,45.32,No
S1207,ME,Female,21,9.20,140,76.61,No
S1069,CE,Male,22,9.18,140,87.59,No
S1139,EEE,Male,21,9.17,140,58.69,No
S1236,CSE,Female,19,9.17,140,67.22,Yes
S1122,EEE,Male,22,9.09,140,67.14,Yes
S1324,CSE,Female,22,9.08,140,90.85,No
S1334,CE,Male,21,9.05,140,68.94,No
S1129,EEE,Female,20,9.03,140,69.14,No
S1165,ECE,Female,24,9.00,140,50.15,No
S1107,CE,Male,19,9.00,140,68.79,No
S1323,CSE,Male,18,8.95,140,82.27,No
S1310,CSE,Female,24,8.95,140,74.01,No
S1041,CSE,Male,18,8.94,140,54.66,No
S1319,ME,Female,19,8.91,140,69.86,Yes
S1101,CSE,Female,23,8.86,140,67.05,No
S1121,CE,Female,20,8.85,140,98.71,Yes
S1177,CSE,Female,21,8.77,140,100.00,Yes
S1306,CSE,Female,20,8.76,140,71.23,Yes
S1168,CSE,Female,24,8.75,140,59.68,No
S1062,EEE,Female,23,8.70,140,60.62,No
S1050,CE,Female,21,8.67,140,73.37,No
S1189,ME,Male,21,8.66,140,68.52,No
S1262,EEE,Male,18,8.65,140,74.96,No
S1077,CE,Female,19,8.64,140,53.20,No
S1149,CE,Male,19,8.63,140,51.59,No
S1213,ECE,Female,19,8.60,140,63.56,No
S1127,CE,Male,19,8.59,140,75.47,No
S1167,ME,Male,24,8.59,140,85.15,No
S1283,CE,Female,23,8.58,140,79.14,No
S1317,ECE,Female,24,8.57,140,56.52,No
S1251,CE,Male,21,8.55,140,94.43,No
S1293,CE,Male,20,8.55,140,67.71,No
S1199,CE,Male,18,8.55,140,66.63,No
S1092,ME,Male,18,8.54,140,64.77,Yes
S1312,ECE,Male,21,8.53,140,59.98,Yes
S1232,CE,Male,20,8.53,140,52.19,No
S1237,CE,Female,20,8.51,140,68.05,No
S1036,ME,Female,22,8.51,140,95.91,No
S1336,CSE,Female,23,8.48,140,70.97,Yes
S1235,ECE,Male,22,8.48,140,76.21,No
S1271,CSE,Male,18,8.47,140,69.16,No
S1298,CE,Male,23,8.44,140,42.46,No
S1176,ME,Female,23,8.44,140,85.34,No
S1196,ME,Female,24,8.42,140,55.16,No
S1315,ECE,Male,18,8.39,140,58.66,Yes
S1060,ECE,Male,21,8.37,140,92.15,No
S1100,CE,Female,18,8.37,140,66.11,No
S1038,CSE,Male,23,8.34,140,70.57,Yes
S1284,CSE,Male,19,8.33,140,53.62,Yes
S1086,CSE,Female,20,8.33,140,84.94,No
S1072,EEE,Male,22,8.33,140,81.58,No
S1134,ME,Female,23,8.32,140,79.58,No
S1075,ECE,Male,22,8.27,140,43.90,Yes
S1098,ECE,Male,19,8.26,140,85.45,No
S1013,ECE,Male,22,8.26,140,83.87,Yes
S1017,EEE,Female,22,8.25,140,75.90,No
S1221,CSE,Male,18,8.24,140,96.24,No
S1115,EEE,Male,21,8.23,140,67.91,Yes
S1178,EEE,Female,19,8.22,140,90.76,No
S1183,ECE,Female,23,8.21,140,74.22,No
S1186,EEE,Female,20,8.21,140,58.69,No
S1268,EEE,Male,20,8.21,140,95.09,No
S1257,EEE,Male,19,8.20,140,51.64,No
S1147,ME,Male,19,8.20,140,84.46,Yes
S1295,EEE,Female,20,8.18,140,84.35,No
S1339,CE,Female,18,8.17,140,67.84,No
S1108,ME,Female,18,8.15,140,71.18,No
S1028,CE,Male,19,8.14,140,60.23,Yes
S1080,EEE,Male,24,8.13,140,62.98,No
S1270,ME,Female,22,8.13,140,59.42,No
S1272,CSE,Female,19,8.12,140,78.37,No
S1277,ME,Male,22,8.12,140,48.79,Yes
S1191,EEE,Female,23,8.12,140,53.45,No
S1281,EEE,Female,24,8.11,140,88.54,No
S1203,CSE,Male,19,8.11,140,49.99,No
S1192,CE,Male,18,8.09,140,72.70,No
S1044,ECE,Female,19,8.08,140,75.99,No
S1021,EEE,Female,21,8.07,140,61.97,No
S1282,CSE,Male,23,8.06,140,86.37,No
S1019,CE,Male,22,8.04,140,79.53,Yes
S1040,CE,Female,24,8.03,140,79.20,Yes
S1242,CSE,Male,21,8.02,140,61.64,Yes
S1014,CE,Female,22,8.00,140,70.89,No
S1254,CSE,Male,19,7.99,140,61.27,No
S1343,CE,Male,18,7.99,140,88.28,Yes
S1181,ME,Male,19,7.99,140,82.80,Yes
S1116,ECE,Female,18,7.98,140,86.62,No
S1090,ME,Female,18,7.98,140,92.51,Yes
S1233,CE,Male,22,7.97,140,74.65,No
S1119,ECE,Male,22,7.97,140,54.20,No
S1285,EEE,Female,21,7.96,140,65.25,No
S1187,CSE,Male,24,7.94,140,65.79,No
S1288,ME,Male,19,7.93,140,100.00,No
S1102,CE,Female,20,7.91,140,68.93,Yes
S1230,ECE,Male,20,7.91,140,57.47,No
S1211,CE,Female,23,7.90,140,90.46,No
S1056,CE,Male,21,7.89,140,67.41,Yes
S1341,CE,Female,20,7.88,140,79.00,No
S1280,ECE,Male,24,7.88,140,58.97,Yes
S1097,ECE,Female,22,7.88,140,76.45,Yes
S1046,ECE,Female,21,7.87,140,62.75,No
S1225,CSE,Male,20,7.85,140,83.42,No
S1078,CE,Male,20,7.84,140,50.58,No
S1052,CE,Male,19,7.84,140,95.26,No
S1091,CSE,Male,23,7.83,140,82.75,No
S1070,CSE,Male,21,7.83,140,78.15,Yes
S1194,CE,Male,21,7.83,140,83.77,No
S1218,CSE,Male,20,7.81,140,59.47,No
S1058,CE,Female,22,7.79,140,79.78,No
S1344,ECE,Male,22,7.79,140,66.80,Yes
