,Name,Price,Fuel Type,Colors
0,Hyundai Creta,₹12.98 L,Petrol,11 colors
1,Hyundai Venue,₹9.03 L,Petrol,4 colors
2,Kia Sonet,₹9.47 L,Petrol,7 colors
3,Kia Syros,₹10.57 L,Petrol,8 colors
4,Maruti Suzuki Baleno (2022-2025),₹7.55 L,Petrol,6 colors
5,Maruti Suzuki Brezza,₹9.73 L,Petrol,5 colors
6,Maruti Suzuki Grand Vitara,₹13.10 L,Petrol,1 color
7,Mahindra XUV700,₹17.74 L,Petrol,5 colors
8,Mahindra Scorpio-N,₹16.86 L,Petrol,3 colors
9,Tata Punch,₹6.68 L,Petrol,2 colors
10,Tata Nexon,₹9.99 L,Petrol,4 colors
11,Tata Curvv EV,₹20.29 L,Electric,4 colors
12,Maruti Suzuki Swift,₹7.28 L,Petrol,4 colors
13,Hyundai Grand i10 Nios,₹6.68 L,Petrol,3 colors
14,Hyundai Aura,₹8.41 L,Petrol,6 colors
15,Maruti Suzuki Wagon R,₹6.31 L,Petrol,3 colors
